Date|Metric
190923|1541
190924|1396
190925|1654
190926|1359
190927|1260
190928|1080
190929|984
190930|1308
191001|1342
191002|1015
191003|1648
191004|1890
191005|1632
191006|969
191007|1558
191008|1069
191009|2357
191010|2256
191011|1883
191012|1615
191013|1339
191014|2056
191015|1929
191016|1635
191017|1483
191018|1352
191019|1425
191020|1046
191021|1275
191022|1211
191023|1281
191024|1276
191025|1108
191026|937
191027|568
191028|882
191029|862
191030|843
191031|653
191101|1192
191102|955
191103|816
191104|1741
191105|1457
191106|1217
191107|1933
191108|1451
191109|1416
191110|1171
191111|1613
191112|1472
191113|922
