Date|Metric
190722|1592
190723|1361
190724|1248
190725|1237
190726|1229
190727|970
190728|728
190729|1093
190730|992
190731|938
190801|1795
190802|1613
190803|1406
190804|1279
190805|2028
190806|1659
190807|1977
190808|1839
190809|1715
190810|1563
190811|1079
190812|1227
190813|2215
190814|1657
190815|1097
190816|1684
190817|1158
190818|902
190819|1708
190820|1500
190821|1351
190822|1461
190823|1625
190824|1204
190825|976
190826|1873
190827|1207
190828|1150
190829|1379
190830|1243
190831|1204
190901|1101
190902|1129
190903|1371
190904|2379
190905|2113
190906|1552
190907|1634
190908|1021
190909|1807
190910|1563
190911|1661
190912|1327
190913|1470
190914|1429
190915|1122
190916|1441
190917|1322
190918|1413
190919|1487
190920|1441
190921|1395
190922|1134
190923|1541
190924|1396
190925|1654
190926|1359
190927|1260
190928|1080
190929|984
190930|1308
191001|1342
191002|1015
191003|1648
191004|1890
191005|1632
191006|969
191007|1558
191008|1069
191009|2357
191010|2256
191011|1883
191012|1615
191013|1339
191014|2056
191015|1929
191016|1635
191017|1483
191018|1352
191019|1425
191020|1046
191021|1275
191022|1211
191023|1281
191024|1276
191025|1108
191026|937
191027|568
191028|882
191029|862
191030|843
191031|653
191101|1192
191102|955
191103|816
191104|1741
191105|1457
191106|1218
191107|1933
191108|1450
191109|1418
191110|1170
191111|1020
